10.000	
m		kPa
4.10  150.00000
4.20  150.00000
4.30  150.00000
4.40  149.96338
4.50  149.48730
4.60  146.63086
4.70  136.15723
4.80  109.97314
4.90  62.84180
5.00  0.00000
45.000	
m		kPa
0.00  0.00000
0.10  58.91418
0.20  104.73633
0.30  132.22961
0.40  144.72656
0.50  148.89221
0.60  149.85352
0.70  149.99084
0.80  150.00000
0.90  150.00000
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  150.00000
4.20  150.00000
4.30  149.99084
4.40  149.85352
4.50  148.89221
4.60  144.72656
4.70  132.22961
4.80  104.73633
4.90  58.91418
5.00  0.00000
50.000	
m		kPa
0.00  0.00000
0.10  55.64117
0.20  100.15411
0.30  128.48053
0.40  142.64374
0.50  148.09113
0.60  149.64752
0.70  149.95880
0.80  149.99771
0.90  150.00000
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  150.00000
4.20  149.99771
4.30  149.95880
4.40  149.64752
4.50  148.09113
4.60  142.64374
4.70  128.48053
4.80  100.15411
4.90  55.64117
5.00  0.00000
55.000	
m		kPa
0.00  0.00000
0.10  52.85912
0.20  96.10748
0.30  124.93973
0.40  140.46478
0.50  147.11838
0.60  149.33624
0.70  149.89071
0.80  149.98856
0.90  149.99943
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  149.99943
4.20  149.98856
4.30  149.89071
4.40  149.33624
4.50  147.11838
4.60  140.46478
4.70  124.93973
4.80  96.10748
4.90  52.85912
5.00  0.00000
60.000	
m		kPa
0.00  0.00000
0.10  50.45643
0.20  92.50345
0.30  121.61293
0.40  138.24692
0.50  146.00945
0.60  148.92039
0.70  149.77655
0.80  149.96681
0.90  149.99685
1.00  149.99986
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  149.99986
4.10  149.99685
4.20  149.96681
4.30  149.77655
4.40  148.92039
4.50  146.00945
4.60  138.24692
4.70  121.61293
4.80  92.50345
4.90  50.45643
5.00  0.00000
65.000	
m		kPa
0.00  0.00000
0.10  48.35408
0.20  89.26907
0.30  118.49406
0.40  136.02905
0.50  144.79655
0.60  148.40670
0.70  149.61008
0.80  149.92676
0.90  149.99009
1.00  149.99914
1.10  149.99996
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  149.99996
4.00  149.99914
4.10  149.99009
4.20  149.92676
4.30  149.61008
4.40  148.40670
4.50  144.79655
4.60  136.02905
4.70  118.49406
4.80  89.26907
4.90  48.35408
5.00  0.00000
70.000	
m		kPa
0.00  0.00000
0.10  46.49431
0.20  86.34657
0.30  115.57156
0.40  133.83718
0.50  143.50721
0.60  147.80501
0.70  149.38840
0.80  149.86342
0.90  149.97652
1.00  149.99709
1.10  149.99977
1.20  149.99999
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  149.99999
3.90  149.99977
4.00  149.99709
4.10  149.97652
4.20  149.86342
4.30  149.38840
4.40  147.80501
4.50  143.50721
4.60  133.83718
4.70  115.57156
4.80  86.34657
4.90  46.49431
5.00  0.00000
75.000	
m		kPa
0.00  0.00000
0.10  44.83379
0.20  83.68975
0.30  112.83172
0.40  131.68828
0.50  142.16415
0.60  147.12641
0.70  149.11131
0.80  149.77294
0.90  149.95339
1.00  149.99261
1.10  149.99915
1.20  149.99994
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  149.99994
3.90  149.99915
4.00  149.99261
4.10  149.95339
4.20  149.77294
4.30  149.11131
4.40  147.12641
4.50  142.16415
4.60  131.68828
4.70  112.83172
4.80  83.68975
4.90  44.83379
5.00  0.00000
80.000	
m		kPa
0.00  0.00000
0.10  43.33933
0.20  81.26125
0.30  110.26037
0.40  129.59311
0.50  140.78575
0.60  146.38207
0.70  148.78049
0.80  149.65264
0.90  149.91808
1.00  149.98444
1.10  149.99771
1.20  149.99976
1.30  149.99998
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  149.99998
3.80  149.99976
3.90  149.99771
4.00  149.98444
4.10  149.91808
4.20  149.65264
4.30  148.78049
4.40  146.38207
4.50  140.78575
4.60  129.59311
4.70  110.26037
4.80  81.26125
4.90  43.33933
5.00  0.00000
85.000	
m		kPa
0.00  0.00000
0.10  41.98498
0.20  79.03055
0.30  107.84377
0.40  127.55808
0.50  139.38667
0.60  145.58259
0.70  148.39892
0.80  149.50097
0.90  149.86831
1.00  149.97117
1.10  149.99491
1.20  149.99930
1.30  149.99993
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  149.99993
3.80  149.99930
3.90  149.99491
4.00  149.97117
4.10  149.86831
4.20  149.50097
4.30  148.39892
4.40  145.58259
4.50  139.38667
4.60  127.55808
4.70  107.84377
4.80  79.03055
4.90  41.98498
5.00  0.00000
90.000	
m		kPa
0.00  0.00000
0.10  40.75013
0.20  76.97246
0.30  105.56904
0.40  125.58665
0.50  137.97850
0.60  144.73769
0.70  147.97035
0.80  149.31729
0.90  149.80219
1.00  149.95139
1.10  149.99007
1.20  149.99836
1.30  149.99979
1.40  149.99998
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  149.99998
3.70  149.99979
3.80  149.99836
3.90  149.99007
4.00  149.95139
4.10  149.80219
4.20  149.31729
4.30  147.97035
4.40  144.73769
4.50  137.97850
4.60  125.58665
4.70  105.56904
4.80  76.97246
4.90  40.75013
5.00  0.00000
95.000	
m		kPa
0.00  0.00000
0.10  39.61818
0.20  75.06603
0.30  103.42430
0.40  123.68021
0.50  136.57034
0.60  143.85606
0.70  147.49892
0.80  149.10178
0.90  149.71827
1.00  149.92376
1.10  149.98247
1.20  149.99665
1.30  149.99948
1.40  149.99994
1.50  149.99999
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  149.99999
3.60  149.99994
3.70  149.99948
3.80  149.99665
3.90  149.98247
4.00  149.92376
4.10  149.71827
4.20  149.10178
4.30  147.49892
4.40  143.85606
4.50  136.57034
4.60  123.68021
4.70  103.42430
4.80  75.06603
4.90  39.61818
5.00  0.00000
100.000	
m		kPa
0.00  0.00000
0.10  38.57560
0.20  73.29363
0.30  101.39871
0.40  121.83877
0.50  135.16924
0.60  142.94535
0.70  146.98892
0.80  148.85519
0.90  149.61552
1.00  149.88707
1.10  149.97134
1.20  149.99381
1.30  149.99889
1.40  149.99984
1.50  149.99998
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  149.99998
3.60  149.99984
3.70  149.99889
3.80  149.99381
3.90  149.97134
4.00  149.88707
4.10  149.61552
4.20  148.85519
4.30  146.98892
4.40  142.94535
4.50  135.16924
4.60  121.83877
4.70  101.39871
4.80  73.29363
4.90  38.57560
5.00  0.00000
105.000	
m		kPa
0.00  0.00000
0.10  37.61121
0.20  71.64039
0.30  99.48245
0.40  120.06137
0.50  133.78065
0.60  142.01221
0.70  146.44459
0.80  148.57870
0.90  149.49332
1.00  149.84025
1.10  149.95589
1.20  149.98946
1.30  149.99786
1.40  149.99964
1.50  149.99995
1.60  149.99999
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  149.99999
3.50  149.99995
3.60  149.99964
3.70  149.99786
3.80  149.98946
3.90  149.95589
4.00  149.84025
4.10  149.49332
4.20  148.57870
4.30  146.44459
4.40  142.01221
4.50  133.78065
4.60  120.06137
4.70  99.48245
4.80  71.64039
4.90  37.61121
5.00  0.00000
110.000	
m		kPa
0.00  0.00000
0.10  36.71570
0.20  70.09361
0.30  97.66667
0.40  118.34646
0.50  132.40872
0.60  141.06242
0.70  145.87003
0.80  148.27383
0.90  149.35140
1.00  149.78243
1.10  149.93537
1.20  149.98317
1.30  149.99620
1.40  149.99927
1.50  149.99988
1.60  149.99998
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  149.99998
3.50  149.99988
3.60  149.99927
3.70  149.99620
3.80  149.98317
3.90  149.93537
4.00  149.78243
4.10  149.35140
4.20  148.27383
4.30  145.87003
4.40  141.06242
4.50  132.40872
4.60  118.34646
4.70  97.66667
4.80  70.09361
4.90  36.71570
5.00  0.00000
115.000	
m		kPa
0.00  0.00000
0.10  35.88125
0.20  68.64240
0.30  95.94335
0.40  116.69208
0.50  131.05658
0.60  140.10089
0.70  145.26908
0.80  147.94227
0.90  149.18976
1.00  149.71291
1.10  149.90908
1.20  149.97448
1.30  149.99371
1.40  149.99866
1.50  149.99975
1.60  149.99996
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  149.99996
3.50  149.99975
3.60  149.99866
3.70  149.99371
3.80  149.97448
3.90  149.90908
4.00  149.71291
4.10  149.18976
4.20  147.94227
4.30  145.26908
4.40  140.10089
4.50  131.05658
4.60  116.69208
4.70  95.94335
4.80  68.64240
4.90  35.88125
5.00  0.00000
120.000	
m		kPa
0.00  0.00000
0.10  35.10123
0.20  67.27735
0.30  94.30529
0.40  115.09602
0.50  129.72653
0.60  139.13186
0.70  144.64533
0.80  147.58585
0.90  149.00868
1.00  149.63116
1.10  149.87639
1.20  149.96294
1.30  149.99014
1.40  149.99769
1.50  149.99953
1.60  149.99992
1.70  149.99999
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  149.99999
3.40  149.99992
3.50  149.99953
3.60  149.99769
3.70  149.99014
3.80  149.96294
3.90  149.87639
4.00  149.63116
4.10  149.00868
4.20  147.58585
4.30  144.64533
4.40  139.13186
4.50  129.72653
4.60  115.09602
4.70  94.30529
4.80  67.27735
4.90  35.10123
5.00  0.00000
125.000	
m		kPa
0.00  0.00000
0.10  34.36995
0.20  65.99031
0.30  92.74599
0.40  113.55597
0.50  128.42024
0.60  138.15890
0.70  144.00209
0.80  147.20642
0.90  148.80859
1.00  149.53685
1.10  149.83672
1.20  149.94810
1.30  149.98523
1.40  149.99626
1.50  149.99917
1.60  149.99984
1.70  149.99997
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  149.99997
3.40  149.99984
3.50  149.99917
3.60  149.99626
3.70  149.98523
3.80  149.94810
3.90  149.83672
4.00  149.53685
4.10  148.80859
4.20  147.20642
4.30  144.00209
4.40  138.15890
4.50  128.42024
4.60  113.55597
4.70  92.74599
4.80  65.99031
4.90  34.36995
5.00  0.00000
130.000	
m		kPa
0.00  0.00000
0.10  33.68255
0.20  64.77414
0.30  91.25956
0.40  112.06954
0.50  127.13883
0.60  137.18503
0.70  143.34238
0.80  146.80588
0.90  148.59011
1.00  149.42975
1.10  149.78960
1.20  149.92954
1.30  149.97870
1.40  149.99423
1.50  149.99861
1.60  149.99971
1.70  149.99995
1.80  149.99999
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  149.99999
3.30  149.99995
3.40  149.99971
3.50  149.99861
3.60  149.99423
3.70  149.97870
3.80  149.92954
3.90  149.78960
4.00  149.42975
4.10  148.59011
4.20  146.80588
4.30  143.34238
4.40  137.18503
4.50  127.13883
4.60  112.06954
4.70  91.25956
4.80  64.77414
4.90  33.68255
5.00  0.00000
135.000	
m		kPa
0.00  0.00000
0.10  33.03481
0.20  63.62260
0.30  89.84070
0.40  110.63437
0.50  125.88306
0.60  136.21282
0.70  142.66892
0.80  146.38606
0.90  148.35397
1.00  149.30980
1.10  149.73462
1.20  149.90684
1.30  149.97029
1.40  149.99144
1.50  149.99779
1.60  149.99949
1.70  149.99990
1.80  149.99998
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  149.99998
3.30  149.99990
3.40  149.99949
3.50  149.99779
3.60  149.99144
3.70  149.97029
3.80  149.90684
3.90  149.73462
4.00  149.30980
4.10  148.35397
4.20  146.38606
4.30  142.66892
4.40  136.21282
4.50  125.88306
4.60  110.63437
4.70  89.84070
4.80  63.62260
4.90  33.03481
5.00  0.00000
140.000	
m		kPa
0.00  0.00000
0.10  32.42305
0.20  62.53018
0.30  88.48459
0.40  109.24813
0.50  124.65333
0.60  135.24440
0.70  141.98418
0.80  145.94875
0.90  148.10095
1.00  149.17705
1.10  149.67147
1.20  149.87965
1.30  149.95972
1.40  149.98774
1.50  149.99663
1.60  149.99917
1.70  149.99982
1.80  149.99996
1.90  149.99999
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  149.99999
3.20  149.99996
3.30  149.99982
3.40  149.99917
3.50  149.99663
3.60  149.98774
3.70  149.95972
3.80  149.87965
3.90  149.67147
4.00  149.17705
4.10  148.10095
4.20  145.94875
4.30  141.98418
4.40  135.24440
4.50  124.65333
4.60  109.24813
4.70  88.48459
4.80  62.53018
4.90  32.42305
5.00  0.00000
145.000	
m		kPa
0.00  0.00000
0.10  31.84407
0.20  61.49200
0.30  87.18687
0.40  107.90854
0.50  123.44980
0.60  134.28158
0.70  141.29038
0.80  145.49566
0.90  147.83192
1.00  149.03163
1.10  149.59991
1.20  149.84762
1.30  149.94671
1.40  149.98296
1.50  149.99504
1.60  149.99870
1.70  149.99969
1.80  149.99993
1.90  149.99999
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  149.99999
3.20  149.99993
3.30  149.99969
3.40  149.99870
3.50  149.99504
3.60  149.98296
3.70  149.94671
3.80  149.84762
3.90  149.59991
4.00  149.03163
4.10  147.83192
4.20  145.49566
4.30  141.29038
4.40  134.28158
4.50  123.44980
4.60  107.90854
4.70  87.18687
4.80  61.49200
4.90  31.84407
5.00  0.00000
150.000	
m		kPa
0.00  0.00000
0.10  31.29504
0.20  60.50374
0.30  85.94357
0.40  106.61344
0.50  122.27243
0.60  133.32583
0.70  140.58950
0.80  145.02840
0.90  147.54778
1.00  148.87377
1.10  149.51977
1.20  149.81047
1.30  149.93100
1.40  149.97692
1.50  149.99293
1.60  149.99803
1.70  149.99950
1.80  149.99989
1.90  149.99998
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  149.99998
3.20  149.99989
3.30  149.99950
3.40  149.99803
3.50  149.99293
3.60  149.97692
3.70  149.93100
3.80  149.81047
3.90  149.51977
4.00  148.87377
4.10  147.54778
4.20  145.02840
4.30  140.58950
4.40  133.32583
4.50  122.27243
4.60  106.61344
4.70  85.94357
4.80  60.50374
4.90  31.29504
5.00  0.00000
155.000	
m		kPa
0.00  0.00000
0.10  30.77345
0.20  59.56152
0.30  84.75108
0.40  105.36072
0.50  121.12103
0.60  132.37840
0.70  139.88331
0.80  144.54852
0.90  147.24944
1.00  148.70378
1.10  149.43094
1.20  149.76792
1.30  149.91235
1.40  149.96944
1.50  149.99020
1.60  149.99712
